id,coaster_name,Location,Continent,Country
15HY88,10 Inversion Roller Coaster,Chimelong Paradise,Asia,China
45VU57,Abyss ,Adventure World,Oceania,Australia
13AD84,Abyssus,Energylandia,Europe,Poland
35OI24,Accelerator ,Drayton Manor Theme Park,Europe,United Kingdom
34OB28,Acrobat ,Nagashima Spa Land,Asia,Japan
21RA97,Adrenaline Peak,Oaks Amusement Park,North America,United States
12RC67,Adventure Express,Kings Island,North America,United States
26RT40,Aero Dips,Euclid Beach Park,North America,United States
94TD25,Afterburn ,Carowinds,North America,United States
83IM10,Afterburner ,Fun Spot Amusement Park & Zoo,North America,United States
40FI55,Air Grover,"Tampa, Florida, U.S.",North America,United States
70DJ54,Airplane Coaster,Playland,North America,United States
52RU32,Alpenexpress Enzian,Europa-Park,Europe,Germany
75IN78,Alpengeist,Busch Gardens Williamsburg,North America,United States
71CQ75,Alpina Blitz,Nigloland,Europe,France
80OG79,Alpine Bobsled,Six Flags Great Adventure,North America,United States
61CT87,Alpine Bobsled,Six Flags Great America,North America,United States
17KK77,Alpine Bobsled,Six Flags Great Escape,North America,United States
32HT63,Alpine Sleigh Ride,Santa's Village,North America,United States
69UB28,American Dreier Looping,Freizeitpark Plohn,Europe,Germany
79TT84,American Dreier Looping,La Feria Chapultepec Mágico,North America,Mexico
51TG69,American Dreier Looping,Wonderland Eurasia,Asia,Turkey
32GI29,American Eagle ,Six Flags Great America,North America,United States
20XN77,American Thunder ,Six Flags St. Louis,North America,United States
64QZ68,Anaconda ,Kings Dominion,North America,United States
72WI44,Anaconda ,Walygator Parc,Europe,France
82GG55,Apocalypse: The Ride,Six Flags Magic Mountain,North America,United States
73VH76,Apollo's Chariot,Busch Gardens Williamsburg,North America,United States
88HR48,Apple Zapple ,Kings Dominion,North America,United States
85BD60,Aquaman: Power Wave,Six Flags Over Texas,North America,United States
11WO24,ArieForce One,Fun Spot America Atlanta,North America,United States
14BA70,Arkansas Twister,Magic Springs and Crystal Falls,North America,United States
25CA24,Arkham Asylum - Shock Therapy,Warner Bros. Movie World,Oceania,Australia
95PO15,Arkham Asylum - Shock Therapy,Warner Bros. Movie World,Europe,Spain
51TO49,Arthur - The Ride,Europa-Park,Europe,Germany
69HZ62,Astro Storm,Fantasy Island,Europe,United Kingdom
61SE93,Astro Storm,Ingoldmells,Europe,United Kingdom
99UJ73,Atlantica SuperSplash,Europa-Park,Europe,Germany
57RH49,Atlantis Adventure,Lotte World,Asia,South Korea
62BI84,Avalancha ,Xetulul Theme Park,Central America,Guatemala
62OY84,Avalanche ,Blackpool Pleasure Beach,Europe,United Kingdom
98LZ45,Avalanche ,Kings Dominion,North America,United States
63RE43,Back at the Barnyard Hayride,Nickelodeon Universe,North America,United States
14QJ63,Backety-Back Scenic Railway,Crystal Beach,North America,United States
63XL41,Backlot Stunt Coaster,Canada's Wonderland,North America,Canada
12TI15,Backlot Stunt Coaster,Kings Dominion,North America,United States
86ZZ66,Backyardigans: Mission to Mars,Movie Park Germany,Europe,Germany
90IG28,Balder ,Liseberg,Europe,Sweden
64FB35,Bandit ,Movie Park Germany,Europe,Germany
34ZD45,Bandit ,Yomiuriland,Asia,Japan
72PL56,Banshee ,Kings Island,North America,United States
64KQ46,Baron 1898,Efteling,Europe,Netherlands
73ZP13,Bat ,Lagoon Amusement Park,North America,United States
77EV47,Batman & Robin: The Chiller,Six Flags Great Adventure,North America,United States
24OM21,Batman The Escape,Six Flags Magic Mountain,North America,United States
54RR98,Batman: Arkham Asylum ,Parque Warner Madrid,Europe,Spain
81BX31,Batman: The Dark Knight ,Six Flags New England,North America,United States
31MI33,Batman: The Ride,Six Flags America,North America,United States
11OG90,Batman: The Ride,Six Flags Great Adventure,North America,United States
10IL81,Batman: The Ride,Six Flags Great America,North America,United States
23EF54,Batman: The Ride,Six Flags Magic Mountain,North America,United States
63ET72,Batman: The Ride,Six Flags Over Georgia,North America,United States
35ZU65,Batman: The Ride,Six Flags Over Texas,North America,United States
57OQ13,Batman: The Ride,Six Flags St. Louis,North America,United States
87AW85,Batman: The Ride ,Six Flags Discovery Kingdom,North America,United States
95RO51,Batman: The Ride ,Six Flags Fiesta Texas,North America,United States
33JM14,Batman: The Ride ,Six Flags Mexico,North America,Mexico
16YL59,Battlestar Galactica ,Universal Studios Singapore,Asia,Singapore
84BP64,Batwing ,Six Flags America,North America,United States
31IU81,Beast ,Alton Towers,Europe,United Kingdom
22ZI98,Beastie ,Alton Towers,Europe,United Kingdom
25DW18,Behemoth ,Canada's Wonderland,North America,Canada
51NN54,Big Apple Coaster,New York-New York Hotel and Casino,North America,United States
11DF11,Big Bad Wolf ,Busch Gardens Williamsburg,North America,United States
74NU78,Big Dipper ,Battersea Park,Europe,United Kingdom
77AW47,Big Dipper ,Blackpool Pleasure Beach,Europe,United Kingdom
14FA76,Big Dipper ,Camden Park,North America,United States
56IS56,Big Dipper ,Geauga Lake,North America,United States
89YH58,Big Dipper ,Luna Park Sydney,Oceania,Australia
69OP36,Big Fury,Six Flags Great Adventure,North America,United States
51EV46,Big Grizzly Mountain Runaway Mine Cars,Hong Kong Disneyland,North America,United States
98VL62,Big Thunder Mountain,Tokyo Disneyland,Asia,Japan
23TR19,Big Thunder Mountain Railroad,Magic Kingdom,North America,United States
86RI33,Big Thunder Mountain Railroad ,Disneyland,North America,United States
93CA75,Bizarro ,Six Flags Great Adventure,North America,United States
62ZM36,Black Diamond ,Knoebels Amusement Resort,North America,United States
10TP46,Black Hole ,Alton Towers,Europe,United Kingdom
60XX28,Black Mamba ,Phantasialand,Europe,Germany
15QW25,Blue Fire,Europa-Park,Europe,Germany
49NA27,Blue Flyer,Blackpool Pleasure Beach,Europe,United Kingdom
21MM62,Blue Hawk ,Six Flags Over Georgia,North America,United States
26QZ68,Blue Streak ,Cedar Point,North America,United States
98IZ53,Blue Streak ,Conneaut Lake Park,North America,United States
16QD72,Blue Tornado ,Gardaland,Europe,Italy
58FL27,Boardwalk Bullet,Kemah Boardwalk,North America,United States
65YF74,Bocaraca,La Feria Chapultepec Magico,North America,Mexico
91ER56,BomBora ,Lagoon,North America,United States
10AM89,Boomerang ,La Ronde,North America,Canada
35EK19,Boomerang ,Six Flags Discovery Kingdom,North America,United States
44ZM57,Boomerang: Coast to Coaster,Six Flags Fiesta Texas,North America,United States
84XW74,Boomerang: Coast to Coaster,Six Flags Great Adventure,North America,United States
46ZN48,Boomerang: Coast to Coaster,Six Flags Mexico,North America,Mexico
28MS92,Boomerang: Coast to Coaster,Six Flags New England,North America,United States
65IY22,Boomerang: Coast to Coaster,Six Flags St. Louis,North America,United States
55AH45,Booster Bike,Toverland,Europe,Netherlands
65BV97,Boulder Dash ,Lake Compounce,North America,United States
22PZ31,BuzzSaw ,Dreamworld,Oceania,Australia
61ML34,Cactus Coaster,Adventureland (Iowa),North America,United States
81SF46,California Screamin',Disney California Adventure,North America,United States
68PF49,Candymonium,Hersheypark,North America,United States
90FB15,Cannibal ,Lagoon,North America,United States
31WQ17,Cannon Ball ,Lake Winnepesaukah,North America,United States
87IB12,Cannon Coaster,Coney Island,North America,United States
85SB25,Cannonball Express ,Pleasurewood Hills,Europe,United Kingdom
22OR59,Cannonball Run ,Waterville USA,North America,United States
15QD68,Canobie Corkscrew,Canobie Lake Park,North America,United States
51LO55,Canopy Flyer,Universal Studios Singapore,Asia,Singapore
46EB37,Canyon Blaster ,Adventuredome,North America,United States
50CU46,Canyon Blaster ,Great Escape,North America,United States
90WK57,Canyon Blaster ,Six Flags Magic Mountain,North America,United States
10KT62,Carolina Cyclone,Carowinds,North America,United States
33KA32,Carolina Goldrusher,Carowinds,North America,United States
17AT99,Catwoman's Whip,Six Flags New England,North America,United States
78QM74,Cedar Creek Mine Ride,Cedar Point,North America,United States
12AG59,Chang ,Kentucky Kingdom,North America,United States
85SG96,Cheetah ,Wild Adventures,North America,United States
48BK61,Cheetah Hunt,Busch Gardens Tampa Bay,North America,United States
88AE73,Cliffhanger,Glenwood Caverns Adventure Park,North America,United States
57GA72,Coast Rider,Knott's Berry Farm,North America,United States
81AB42,Cobra ,La Ronde,North America,Canada
53LC17,Cobra ,PowerPark,Europe,Finland
10DU92,Cobra ,Tivoli Friheden,Europe,Denmark
27XJ15,Cobra's Curse,Busch Gardens Tampa Bay,North America,United States
70FY96,Colorado Adventure,Phantasialand,Europe,Germany
65XB99,Colossos - Kampf der Giganten,Heide Park,Europe,Germany
53OZ99,Colossus ,Playcenter Sao Paulo,South America,Brazil
87IN66,Colossus ,Six Flags Magic Mountain,North America,United States
24YM75,Colossus ,Thorpe Park,Europe,United Kingdom
98GB56,Colossus the Fire Dragon,Lagoon Amusement Park,North America,United States
70RR80,Comet ,Hersheypark,North America,United States
51HL62,Comet ,Lincoln Park,North America,United States
51CD53,Comet ,Waldameer Park,North America,United States
94UX12,Comet Express,Great Escape,North America,United States
63DQ78,Condor ,Walibi Holland,Europe,Netherlands
73JT72,Coney Island Cyclone,"Luna Park, Coney Island",North America,United States
16XO34,Copperhead Strike,Carowinds,North America,United States
13GE46,Corkscrew ,Alton Towers,Europe,United Kingdom
67IZ33,Corkscrew ,Cedar Point,North America,United States
21KE14,Corkscrew ,Knott's Berry Farm,North America,United States
45MP79,Corkscrew ,"Muskegon, Michigan, United States",North America,United States
25FA74,Corkscrew ,Playland,North America,United States
18RN16,Corkscrew ,Silverwood Theme Park,North America,United States
19MM77,Corkscrew ,Valleyfair,North America,United States
27WO33,Cornball Express,Indiana Beach,North America,United States
59YX28,Cosmic Coaster ,Valleyfair,North America,United States
